iter	Passed	Remaining
0	173	173142
1	183	91747
2	198	65909
3	211	52546
4	222	44232
5	231	38412
6	246	34899
7	257	31876
8	265	29241
9	276	27414
10	287	25887
11	296	24424
12	310	23602
13	324	22825
14	336	22099
15	348	21448
16	362	20984
17	375	20507
18	391	20199
19	403	19789
20	414	19320
21	426	18958
22	437	18593
23	446	18159
24	457	17824
25	467	17506
26	476	17165
27	486	16903
28	495	16604
29	504	16326
30	514	16073
31	522	15814
32	533	15626
33	541	15398
34	552	15227
35	561	15025
36	572	14887
37	581	14732
38	590	14552
39	600	14416
40	610	14281
41	620	14151
42	630	14027
43	639	13903
44	651	13823
45	661	13721
46	674	13679
47	688	13645
48	702	13636
49	718	13650
50	736	13708
51	752	13713
52	767	13720
53	782	13699
54	796	13692
55	811	13676
56	825	13653
57	838	13626
58	850	13562
59	859	13471
60	869	13377
61	878	13295
62	891	13253
63	901	13188
64	912	13131
65	922	13057
66	935	13029
67	949	13010
68	961	12975
69	973	12939
70	987	12917
71	1000	12898
72	1014	12883
73	1029	12876
74	1038	12806
75	1053	12808
76	1068	12803
77	1080	12769
78	1090	12717
79	1099	12642
80	1113	12638
81	1127	12621
82	1135	12542
83	1145	12488
84	1155	12437
85	1164	12372
86	1173	12311
87	1181	12246
88	1192	12211
89	1202	12155
90	1212	12116
91	1223	12074
92	1232	12020
93	1243	11983
94	1254	11946
95	1264	11906
96	1275	11869
97	1286	11844
98	1297	11805
99	1309	11785
100	1321	11760
101	1331	11722
102	1342	11695
103	1354	11671
104	1364	11628
105	1377	11614
106	1389	11599
107	1406	11618
108	1417	11588
109	1428	11557
110	1443	11560
111	1454	11532
112	1466	11512
113	1477	11481
114	1490	11468
115	1503	11457
116	1518	11462
117	1529	11434
118	1541	11410
119	1553	11392
120	1567	11388
121	1583	11397
122	1595	11374
123	1606	11351
124	1620	11346
125	1637	11361
126	1651	11355
127	1663	11331
128	1675	11313
129	1689	11303
130	1704	11305
131	1720	11313
132	1734	11307
133	1748	11299
134	1762	11291
135	1776	11288
136	1791	11283
137	1806	11284
138	1820	11278
139	1834	11266
140	1847	11253
141	1859	11237
142	1871	11213
143	1883	11195
144	1895	11178
145	1914	11200
146	1929	11193
147	1941	11178
148	1955	11165
149	1967	11151
150	1980	11136
151	1993	11121
152	2006	11109
153	2020	11100
154	2032	11080
155	2046	11072
156	2062	11075
157	2074	11057
158	2087	11042
159	2099	11022
160	2112	11007
161	2124	10991
162	2135	10967
163	2147	10949
164	2160	10935
165	2173	10920
166	2185	10901
167	2198	10886
168	2213	10884
169	2228	10878
170	2240	10863
171	2253	10850
172	2266	10836
173	2281	10832
174	2297	10831
175	2314	10835
176	2330	10837
177	2345	10832
178	2359	10823
179	2372	10809
180	2386	10798
181	2400	10787
182	2413	10773
183	2432	10786
184	2445	10771
185	2459	10763
186	2472	10748
187	2485	10735
188	2498	10721
